,SLC2A2,ARG2,CLTRN,PCOLCE2,IAPP,PPP1R1A,GABRA2,OPRD1,CHL1,GLRA1,GLP1R,PDX1,NKX6-1,SLC30A8
GSE41762_GSM1023718,7.795130956,8.154488698,7.879333602,3.891492707,13.833994,10.09772407,3.980885696,6.940755034,6.590873583,7.882947394,8.658448592,7.411920009,7.802575681,12.31610623
GSE41762_GSM1023719,7.653641523,7.532849619,7.857753167,3.837388983,12.93664184,9.978366412,3.494646739,6.682809419,7.015586701,7.267323109,8.393268285,7.477468939,8.102830817,12.16596468
GSE41762_GSM1023720,5.750997924,7.654302118,8.343844323,4.322937318,13.25430854,9.412093939,4.027190955,6.652271948,5.212969269,4.867549774,7.316875875,7.341913071,7.6039559,10.85612714
GSE41762_GSM1023721,6.330529945,9.290156345,8.802007925,3.975754475,13.46851436,9.420865325,3.502996089,6.504612957,5.607083975,5.746519948,7.723609509,7.169375565,7.579878826,11.21959431
GSE41762_GSM1023722,8.486583279,7.752102523,8.280032946,3.932008157,13.48088104,9.684171048,3.776329067,6.731693859,7.0084039,7.683025742,8.263673478,7.441410336,7.86350879,12.33510947
GSE41762_GSM1023723,7.411184162,7.203933677,8.858507879,4.128687612,13.39541503,8.909057517,3.805242557,6.38647702,6.219652621,6.599663934,7.974487573,7.163747052,7.205704785,11.71971111
GSE41762_GSM1023724,6.674118207,6.931513863,7.565400522,4.179213362,12.94795563,8.817927433,3.834867287,6.840892427,5.897963704,6.017236676,7.387552066,7.253151118,7.49874113,11.58454145
GSE41762_GSM1023725,8.859202139,8.67053732,7.8647801,3.901289196,13.59933125,10.53885285,4.376781329,6.858705951,7.326885701,7.990621312,8.851823031,7.875177071,8.144231141,12.75353614
GSE41762_GSM1023726,6.836541594,7.780629547,8.138555469,3.739298738,13.42929897,9.581633033,3.437572233,6.439235485,6.054647451,5.859282689,8.286581603,7.33080654,7.955930064,11.64485438
GSE41762_GSM1023727,7.295750547,8.187096189,7.575291333,3.99878285,11.31857855,9.480469714,3.709338419,6.716206499,5.625178561,6.370151797,7.866213293,7.272585039,8.219176132,11.49171508
GSE41762_GSM1023728,6.298123499,7.400403377,7.849920176,4.172423083,12.6059863,8.9046154,3.48820434,6.051281928,6.391442074,6.099847482,7.071320939,6.775590336,7.582959876,11.57839322
GSE41762_GSM1023729,8.052578396,7.814927828,7.822362461,4.139068278,12.88887889,9.80967881,4.227121809,6.837272005,7.258027592,6.610643271,8.378214107,7.340257626,8.003400666,11.92513319
GSE41762_GSM1023730,7.489279361,7.606421718,7.339542954,4.0493086,13.34302894,9.689946826,3.771937928,6.620020461,6.398881065,6.282124641,8.383695994,7.41808361,8.039312233,12.00795613
GSE41762_GSM1023731,7.750571746,8.270326684,7.802666187,3.919631627,13.15487737,9.639975573,3.999555638,6.685642793,7.058683508,7.741569987,8.61279593,7.588052668,8.262902546,12.55360453
GSE20966_GSM524151,569.72,108.165,583.98,37.18,9256.07,2229.09,9.99,12.09,227.18,8.66,22.45,12.81,8.76,1325.07
GSE20966_GSM524152,361.33,447.72999999999996,1350.36,31.75,9427.7,1943.3799999999999,14.010000000000002,12.27,327.59,16.03,20.0,11.68,8.25,2015.8
GSE20966_GSM524153,174.92,580.275,1064.2,26.66,8499.69,2096.7850000000003,7.025,5.55,284.27,10.3,19.16,14.55,15.95,2093.5299999999997
GSE20966_GSM524154,232.49,260.5,1162.67,127.25,9067.57,1561.2849999999999,4.79,6.63,254.87,3.6,15.06,19.12,8.7,1467.085
GSE20966_GSM524155,143.65,352.04999999999995,655.07,57.06,10254.63,2184.435,8.185,14.62,314.735,5.73,27.27,28.94,12.07,1433.8400000000001
GSE20966_GSM524156,360.42,216.98,1348.62,41.49,6915.52,1653.1499999999999,13.085,4.82,424.41,12.08,20.55,17.18,9.6,2155.8900000000003
GSE20966_GSM524157,223.17,194.675,1188.0,8.84,10120.07,2244.95,5.62,2.58,568.2650000000001,9.48,23.2,25.77,5.07,1737.6950000000002
GSE20966_GSM524158,435.44,103.505,728.13,9.28,10827.33,1938.37,14.525,3.87,662.85,12.29,20.42,18.6,6.26,2127.965
GSE20966_GSM524159,393.92,253.5,1029.8,78.28,10135.99,1547.37,5.125,13.28,358.615,5.93,20.65,14.94,5.33,2370.12
GSE20966_GSM524160,306.0,131.10999999999999,914.75,88.08,4685.27,1809.53,3.515,2.18,399.56,8.37,15.12,24.33,14.49,1654.84
GSE20966_GSM524161,60.05,81.94,805.91,185.63,8425.9,1322.415,3.84,8.72,205.66,6.23,18.51,22.04,3.53,1546.7050000000002
GSE20966_GSM524162,71.78,34.185,201.74,542.93,7505.09,885.845,5.525,17.36,205.86499999999998,6.85,15.86,32.59,18.09,1353.845
GSE20966_GSM524163,86.32,69.455,371.93,136.33,8200.66,1535.2649999999999,4.79,3.7,193.32500000000002,9.79,33.2,27.31,8.3,1189.3100000000002
GSE20966_GSM524164,132.95,114.62,642.63,651.21,2756.68,791.36,3.75,14.38,173.065,8.38,16.11,13.68,12.88,1403.57
GSE20966_GSM524165,84.44,162.96,276.72,107.39,7546.58,2014.65,3.39,14.33,156.89,8.67,27.1,25.95,11.97,1420.0249999999999
GSE20966_GSM524166,245.83,57.795,146.26,556.48,5397.67,979.76,5.449999999999999,11.38,64.8,7.29,26.49,23.81,10.99,1735.725
GSE20966_GSM524167,35.22,110.4,771.12,274.08,4927.2,771.5849999999999,5.54,9.74,-4.225,11.66,19.39,20.57,13.47,1562.75
GSE20966_GSM524168,49.09,155.65,529.54,619.56,7291.43,1231.78,2.02,9.73,136.16500000000002,5.76,23.66,12.41,11.82,1712.28
GSE20966_GSM524169,93.18,362.145,804.82,424.82,2215.44,1049.0900000000001,4.9350000000000005,15.88,151.17000000000002,11.49,25.34,21.39,4.65,1241.11
GSE20966_GSM524170,77.51,273.555,511.61,595.24,9310.56,1041.55,5.165,13.06,102.36,11.02,20.68,23.18,2.46,1232.055
